id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
18,18,Male,29071,Married,,Bachelor's,Employed,20.83897654,Rural,Premium,1,5,,3,21:39.1,Poor,Yes,Rarely,Apartment,787
19,40,Female,123751,Single,2,Master's,Self-Employed,24.95531648,Suburban,Premium,0,8,420,2,21:39.2,Good,Yes,Rarely,Condo,40
20,39,Male,6837,Divorced,2,High School,Self-Employed,17.81445892,Urban,Premium,,7,595,2,21:39.3,Good,Yes,Daily,Apartment,1204
21,44,Female,14042,Divorced,2,Master's,,4.551825118,Urban,Basic,,6,799,5,21:39.2,Good,Yes,Weekly,Apartment,2670
22,22,Male,,Divorced,4,PhD,,25.58378995,Urban,Comprehensive,,5,773,5,21:39.3,Good,Yes,Monthly,House,202
23,34,Female,32762,Divorced,1,Bachelor's,,21.96760938,Rural,Premium,0,10,798,1,21:39.1,Average,Yes,Monthly,Condo,3869
24,46,Male,24708,Married,3,High School,Employed,26.34125918,Urban,Premium,,0,543,4,21:39.1,Average,No,Daily,House,1136
25,19,Male,72482,Married,2,Bachelor's,Unemployed,27.2794157,Suburban,Premium,0,17,416,3,21:39.1,Good,Yes,Weekly,Condo,671
26,49,Female,82584,Married,0,Bachelor's,Unemployed,23.86738828,Rural,Comprehensive,,10,425,9,21:39.1,Average,Yes,Weekly,Apartment,1010
27,42,Male,35123,Married,2,Bachelor's,Self-Employed,31.3919072,Suburban,Premium,0,3,486,4,21:39.2,Good,Yes,Rarely,Condo,2680
28,43,Male,1060,Married,,Master's,Self-Employed,41.37671629,Suburban,Premium,0,8,795,7,21:39.2,,Yes,Rarely,Condo,699
29,64,Male,131038,Single,,PhD,Self-Employed,20.71707647,Rural,Premium,,14,495,1,21:39.2,Good,Yes,Monthly,House,2360
30,52,Male,30350,Single,1,Bachelor's,Employed,21.49661355,Rural,Comprehensive,,18,449,1,21:39.2,Poor,No,Rarely,House,641
31,37,Male,4534,Divorced,,Bachelor's,,26.38748092,Suburban,Premium,0,1,,1,21:39.1,Poor,No,Daily,House,165
32,58,Male,1288,Divorced,4,Master's,Self-Employed,15.17162855,Urban,Basic,1,2,803,2,21:39.1,Good,No,Rarely,Apartment,3299
33,40,Female,1190,Single,2,High School,Employed,47.85157218,Rural,Basic,,0,421,4,21:39.2,Good,No,Weekly,Condo,1128
34,25,Female,40887,Single,3,Bachelor's,,17.28365129,Suburban,Premium,,5,695,2,21:39.1,Average,Yes,Monthly,Apartment,2152
35,49,Female,12982,Single,4,PhD,,32.75161705,Suburban,Basic,1,1,713,4,21:39.1,Average,No,Rarely,Apartment,30
36,41,Female,,Married,3,PhD,Self-Employed,14.00163003,Urban,Comprehensive,0,15,589,6,21:39.1,Average,No,Rarely,House,250
37,50,Male,18313,Divorced,2,Master's,Employed,19.99646445,Suburban,Premium,0,5,,6,21:39.2,Good,Yes,Weekly,Condo,1586
38,50,Female,57423,Single,1,Bachelor's,Self-Employed,14.14668412,Urban,Basic,,6,,3,21:39.1,Average,No,Daily,Condo,3890
39,40,Female,2858,Divorced,0,High School,,38.57952271,Rural,Comprehensive,0,0,812,5,21:39.2,Poor,Yes,Daily,Condo,26
40,59,Male,1717,Divorced,1,Bachelor's,Unemployed,23.90004874,Urban,Basic,0,9,382,6,21:39.2,Good,No,Weekly,House,1813
41,46,Male,14053,Married,0,High School,Unemployed,18.56935672,Suburban,Comprehensive,3,14,469,5,21:39.2,Good,No,Daily,Condo,1211
42,21,Male,9085,Married,0,PhD,Self-Employed,25.71928448,Urban,Comprehensive,1,10,,8,21:39.2,Poor,Yes,Weekly,Apartment,794
43,35,Male,39717,Divorced,1,PhD,,7.263930529,Urban,Basic,0,10,530,2,21:39.1,Good,Yes,Daily,Apartment,551
44,19,Female,10481,Divorced,4,Master's,,28.78354866,Rural,Premium,0,13,538,5,21:39.1,Poor,Yes,Weekly,Condo,1525
45,61,Male,5095,,3,Master's,Employed,40.88612373,Suburban,Comprehensive,2,7,842,7,21:39.3,Poor,No,Weekly,House,23
46,31,Female,27950,Married,2,PhD,,22.93686153,Urban,Basic,0,1,575,5,21:39.2,Poor,No,Weekly,House,1069
47,54,Female,29076,Married,1,High School,Employed,36.83989237,Rural,Comprehensive,0,2,685,7,21:39.3,Average,Yes,Daily,Condo,1645
48,34,Female,12221,Divorced,0,High School,Employed,37.82939869,Rural,Comprehensive,1,1,794,1,21:39.2,Average,Yes,Weekly,House,1486
49,45,Male,11584,Married,4,Bachelor's,Self-Employed,29.1819,Urban,Basic,1,3,836,4,21:39.3,Good,No,Daily,Apartment,1309
50,30,Female,8599,Single,1,PhD,Employed,28.74466755,Rural,Comprehensive,,18,784,7,21:39.2,Good,No,Rarely,House,882
51,59,Male,523,Divorced,1,PhD,,,Urban,Premium,1,9,439,9,21:39.2,Average,Yes,Weekly,Apartment,537
52,33,Male,54962,Married,0,Master's,Employed,20.08451193,Urban,Premium,,9,381,9,21:39.2,Average,No,Daily,House,1358
53,50,Female,4928,Divorced,1,PhD,Unemployed,17.88271237,Suburban,Comprehensive,,3,801,7,21:39.3,Good,Yes,Weekly,Apartment,2312
54,43,Female,2361,Single,2,PhD,Employed,24.39805204,Suburban,Comprehensive,1,16,,6,21:39.2,Average,No,Daily,Condo,2093
55,28,Male,2476,Married,3,Bachelor's,,19.81210976,Rural,Comprehensive,1,1,624,4,21:39.2,Average,No,Rarely,Apartment,1595
56,52,Female,27128,Married,1,Master's,,35.09675696,Rural,Premium,3,0,439,2,21:39.2,Poor,Yes,Weekly,House,798
57,58,Male,78986,Divorced,2,PhD,Self-Employed,22.69200921,Urban,Premium,,16,497,9,21:39.2,Good,No,Monthly,Apartment,78
58,50,Female,35353,Divorced,1,Bachelor's,Employed,35.6191222,Suburban,Premium,,5,359,3,21:39.2,Average,Yes,Rarely,House,745
59,62,Female,147020,Married,4,Bachelor's,Self-Employed,24.12174595,Urban,Comprehensive,,0,498,6,21:39.2,,No,Daily,Condo,1624
60,56,Female,122824,Divorced,3,Master's,,41.9381699,Urban,Basic,1,6,662,1,21:39.1,,Yes,Weekly,Apartment,2932
61,40,Female,11273,Divorced,3,High School,Employed,51.50653303,Rural,Comprehensive,,19,703,5,21:39.2,Average,Yes,Monthly,Condo,562
62,49,Male,15865,Married,,PhD,Unemployed,36.15354852,Urban,Comprehensive,0,15,,5,21:39.2,Good,Yes,Rarely,House,368
63,29,Female,2490,Married,,Master's,,50.63801698,Urban,Comprehensive,3,7,,2,21:39.2,Good,No,Monthly,Apartment,810
64,48,Female,94904,Divorced,1,Bachelor's,Self-Employed,45.97921794,Urban,Comprehensive,0,3,426,1,21:39.2,Average,No,Monthly,Apartment,861
65,54,Male,6841,Divorced,1,PhD,Unemployed,14.89377609,Urban,Premium,0,15,331,2,21:39.1,Poor,No,Daily,Condo,2160
66,43,Male,5881,Single,3,Master's,,20.61161192,Urban,Comprehensive,0,18,679,7,21:39.2,Good,No,Rarely,Apartment,2979
67,45,Male,,Married,3,High School,Self-Employed,17.98863136,Suburban,Comprehensive,,18,375,9,21:39.2,Average,Yes,Rarely,House,829
68,53,Male,21313,Single,1,High School,Self-Employed,21.1619607,Rural,Premium,2,7,321,1,21:39.1,Good,No,Daily,Apartment,2453
69,22,Female,73693,Married,2,Master's,Self-Employed,,Rural,Premium,1,1,498,1,21:39.1,Poor,Yes,Weekly,Apartment,588
70,62,Male,11977,Married,2,PhD,Employed,,Suburban,Comprehensive,3,0,,8,21:39.2,Poor,Yes,Monthly,House,690
71,30,Female,2490,Married,1,Bachelor's,Self-Employed,,Suburban,Basic,2,0,531,8,21:39.2,Good,Yes,Rarely,Condo,807
72,64,Female,5904,Married,0,Bachelor's,,26.64759878,Suburban,Premium,0,1,622,6,21:39.2,Average,Yes,Monthly,Apartment,981
73,33,Male,3795,Married,0,High School,,37.27954468,Urban,Basic,1,15,464,9,21:39.2,Good,Yes,Daily,Apartment,735
74,23,Male,7515,Single,0,Master's,Self-Employed,22.5272058,Suburban,Comprehensive,2,4,418,9,21:39.1,Average,No,Daily,Condo,3564
75,45,Male,76766,Married,1,Bachelor's,Employed,14.58288223,Suburban,Basic,0,1,,6,21:39.3,Poor,No,Rarely,Condo,233
76,47,Female,2558,Single,0,High School,,10.00449006,Rural,Comprehensive,0,3,685,8,21:39.1,Poor,No,Monthly,Condo,2226
77,34,Female,8072,Married,0,Bachelor's,,25.98839903,Suburban,Comprehensive,2,17,703,1,21:39.2,Poor,No,Daily,House,561
78,53,Female,25170,Married,2,PhD,,19.39499831,Urban,Basic,0,3,,4,21:39.2,Good,Yes,Weekly,Condo,793
79,27,Male,948,Single,3,Master's,,37.47954132,Rural,Basic,,16,534,9,21:39.2,,No,Rarely,House,514
80,27,Male,39681,Single,0,Master's,Employed,7.988788026,Suburban,Premium,,15,454,1,21:39.1,Average,No,Daily,House,115
81,56,Male,5200,Divorced,4,Master's,Unemployed,38.59011569,Suburban,Basic,,0,502,6,21:39.1,Poor,Yes,Rarely,Apartment,49
82,45,Female,23228,Single,1,High School,,20.23887945,Suburban,Premium,,14,823,9,21:39.2,Average,No,Daily,House,1032
83,,Male,645,Single,3,PhD,Employed,30.76628438,Urban,Comprehensive,1,18,319,4,21:39.1,Good,No,Weekly,House,934
84,21,Female,27208,Married,0,PhD,,30.29190384,Suburban,Basic,1,15,660,2,21:39.2,Poor,No,Daily,Condo,1196
85,61,Female,19542,Married,1,Bachelor's,Employed,20.78171124,Urban,Comprehensive,1,17,371,5,21:39.1,Poor,No,Monthly,Apartment,903
86,37,Male,,Single,1,Bachelor's,,13.0382686,Suburban,Comprehensive,,6,562,2,21:39.2,Average,No,Weekly,House,61
87,52,Male,,Married,2,PhD,Unemployed,28.8644103,Rural,Comprehensive,0,18,488,1,21:39.2,Average,No,Weekly,Apartment,369
88,45,Male,87092,Single,1,Bachelor's,,16.71544945,Rural,Basic,1,12,577,7,21:39.1,Poor,No,Rarely,Condo,112
89,38,Female,,Single,3,Bachelor's,Employed,40.16146002,Suburban,Comprehensive,1,1,502,4,21:39.1,Poor,Yes,Monthly,Apartment,2728
90,19,Female,68892,Married,3,Bachelor's,Employed,41.80267031,Urban,Premium,,3,795,1,21:39.2,,No,Monthly,House,37
91,63,Female,915,Single,1,PhD,Employed,22.96414545,Rural,Premium,1,17,584,7,21:39.1,Poor,No,Monthly,House,3664
92,53,Female,1170,Single,0,PhD,Employed,38.59663905,Rural,Premium,0,13,791,6,21:39.1,Average,No,Daily,Condo,2096
93,33,Male,43974,Divorced,,Bachelor's,Self-Employed,39.05648819,Suburban,Basic,,16,638,5,21:39.1,Average,Yes,Weekly,Apartment,3227
94,21,Female,43481,Divorced,3,Master's,,24.75443498,Rural,Comprehensive,,18,486,5,21:39.2,,No,Monthly,Apartment,1313
95,32,Female,27962,Single,2,Master's,Self-Employed,45.39134918,Urban,Basic,0,8,438,2,21:39.2,Average,Yes,Rarely,Condo,2344
96,46,Female,15704,Single,2,PhD,Unemployed,45.98120277,Urban,Comprehensive,,0,779,4,21:39.3,Average,Yes,Weekly,House,2671
97,36,Female,2693,Married,3,Master's,Employed,14.01156764,Rural,Premium,1,18,310,4,21:39.2,Poor,No,Monthly,Condo,1078
98,43,Female,5813,Divorced,2,Bachelor's,Unemployed,29.4414744,Urban,Comprehensive,1,13,748,5,21:39.1,Poor,Yes,Weekly,Apartment,837
99,20,Male,2449,Single,0,Master's,,10.91004588,Rural,Basic,,13,392,6,21:39.1,Average,Yes,Rarely,Condo,2349
100,51,Male,82546,Divorced,,Bachelor's,Employed,,Rural,Premium,,3,446,5,21:39.1,Good,No,Monthly,Apartment,3378
101,39,Female,,Married,0,High School,,24.53429279,Suburban,Basic,,7,,5,21:39.2,Good,No,Daily,House,164
102,63,Female,31400,Married,4,Bachelor's,Employed,15.93601153,Suburban,Basic,0,0,593,2,21:39.3,Average,No,Monthly,Apartment,657
103,34,Female,4098,Single,1,Master's,,43.6950309,Rural,Basic,0,5,576,4,21:39.2,,No,Rarely,House,954
104,51,Male,56415,Married,1,High School,,51.96085903,Suburban,Premium,0,3,493,2,21:39.2,Poor,No,Rarely,Condo,993
105,44,Female,20705,Divorced,1,Bachelor's,Self-Employed,15.36309867,Suburban,Comprehensive,4,9,479,9,21:39.2,Poor,No,Monthly,House,619
106,32,Female,45301,Married,2,Master's,,20.31874968,Rural,Basic,,10,826,5,21:39.2,Good,No,Rarely,House,607
107,19,Male,43953,Divorced,4,Master's,Unemployed,31.71560347,Urban,Premium,0,3,,3,21:39.2,Poor,Yes,Rarely,House,616
108,62,Female,44674,Single,0,Master's,Unemployed,40.83418317,Urban,Premium,0,5,332,1,21:39.1,Average,Yes,Daily,Condo,632
109,49,Male,25863,Divorced,2,Bachelor's,Employed,,Suburban,Comprehensive,1,0,616,5,21:39.1,,No,Monthly,Apartment,2045
110,45,Female,18582,Divorced,2,High School,Employed,34.39658313,Suburban,Basic,1,14,716,2,21:39.2,Poor,No,Daily,Condo,541
111,40,Male,14079,Single,2,PhD,Unemployed,36.56738627,Suburban,Premium,0,17,602,3,21:39.2,Average,No,Monthly,Apartment,1461
112,55,Female,21223,Single,4,Master's,Employed,18.86964781,Urban,Comprehensive,3,6,343,8,21:39.2,Average,Yes,Rarely,Apartment,555
113,55,Male,140988,Married,0,Bachelor's,Unemployed,30.16488435,Urban,Comprehensive,1,4,377,7,21:39.1,Poor,No,Daily,Condo,2411
114,38,Male,3718,Single,1,PhD,,38.71149999,Rural,Comprehensive,2,7,788,8,21:39.2,Average,Yes,Weekly,House,3111
115,39,Female,36373,Divorced,2,Master's,Employed,13.51857082,Rural,Comprehensive,1,0,748,4,21:39.1,Average,No,Rarely,Apartment,454
116,57,Male,17001,Divorced,1,PhD,Employed,14.8947658,Rural,Premium,0,6,,3,21:39.1,,No,Daily,Condo,1055
117,42,Male,32002,Single,,High School,Unemployed,28.98762714,Urban,Comprehensive,2,7,,4,21:39.1,Good,No,Weekly,Condo,549
118,39,Female,648,Single,3,Bachelor's,Employed,,Rural,Comprehensive,1,14,758,4,21:39.1,Good,No,Weekly,Apartment,1405
119,64,Male,18069,Married,4,High School,Employed,20.1824336,Urban,Basic,,3,,5,21:39.2,Good,No,Rarely,Apartment,638
120,18,Male,1288,Single,2,Bachelor's,Unemployed,34.73797138,Suburban,Premium,1,7,571,2,21:39.1,,Yes,Weekly,Apartment,2120
121,34,Female,8072,Married,1,High School,,,Urban,Premium,,8,,3,21:39.2,Poor,No,Monthly,House,1186
122,32,Male,53491,Single,1,PhD,Unemployed,51.12643531,Suburban,Basic,1,12,554,8,21:39.2,Average,No,Weekly,House,1042
123,24,Male,128516,Divorced,0,PhD,Self-Employed,51.89748496,Rural,Basic,0,4,682,9,21:39.2,Good,Yes,Monthly,Apartment,526
124,38,Male,13287,Single,4,Master's,Unemployed,46.24282906,Suburban,Premium,,19,641,6,21:39.2,Average,No,Weekly,House,154
125,18,Male,123331,Married,,Master's,,11.16672696,Rural,Premium,0,11,360,2,21:39.2,Average,Yes,Daily,Condo,1753
126,48,Female,39766,Divorced,1,Bachelor's,,16.75383415,Urban,Comprehensive,,6,,2,21:39.2,Poor,Yes,Weekly,Apartment,602
127,20,Male,54532,Divorced,4,High School,Employed,50.09765166,Rural,Premium,1,16,638,4,21:39.2,Good,Yes,Rarely,House,2034
128,63,Female,24983,Married,1,High School,Unemployed,42.75392627,Urban,Premium,0,2,522,7,21:39.1,Poor,No,Weekly,Apartment,902
129,47,Male,3631,Married,2,PhD,,37.83764155,Rural,Basic,2,0,728,8,21:39.2,Good,Yes,Monthly,House,731
130,35,Male,365,Single,0,Master's,Unemployed,29.95731104,Rural,Comprehensive,0,17,388,9,21:39.3,Poor,Yes,Monthly,Condo,747
131,56,Female,24932,Married,2,High School,Employed,49.73938461,Suburban,Premium,0,1,535,1,21:39.2,Average,Yes,Rarely,Apartment,111
132,59,Male,86031,,4,Master's,Unemployed,18.87840731,Urban,Basic,,12,519,8,21:39.1,Average,Yes,Monthly,Condo,2228
133,18,Female,71015,Divorced,4,High School,Self-Employed,23.76421636,Suburban,Premium,0,18,807,2,21:39.3,Average,Yes,Monthly,Apartment,378
134,30,Female,12595,Married,0,High School,,17.84930741,Rural,Comprehensive,1,6,651,9,21:39.2,Poor,Yes,Rarely,Apartment,677
135,41,Male,10082,Married,3,Bachelor's,Self-Employed,13.44896104,Urban,Premium,,13,829,8,21:39.3,Average,Yes,Daily,Apartment,872
136,55,Female,48834,Single,0,High School,Self-Employed,37.03719952,Urban,Premium,,0,486,5,21:39.1,Good,No,Rarely,House,298
137,40,Male,17894,Divorced,1,Bachelor's,Unemployed,26.836285,Suburban,Premium,,16,,1,21:39.2,Good,Yes,Monthly,House,755
138,34,Male,45974,Divorced,2,Master's,Unemployed,41.92289188,Rural,Comprehensive,1,3,620,4,21:39.2,Poor,No,Rarely,Apartment,1069
139,41,Female,10117,Divorced,3,Master's,Self-Employed,6.865259697,Urban,Premium,1,12,641,9,21:39.1,Average,Yes,Monthly,Condo,729
140,31,Male,6819,Single,,Master's,,15.47971683,Rural,Basic,,7,776,6,21:39.1,Average,No,Weekly,Apartment,1763
141,60,Male,38920,Single,4,PhD,,52.2030197,Urban,Premium,1,2,835,6,21:39.1,Average,Yes,Monthly,Apartment,3890
142,22,Female,87770,Divorced,0,PhD,,,Suburban,Premium,,8,779,2,21:39.2,Average,No,Daily,Condo,2158
143,57,Male,99878,Single,4,PhD,Unemployed,23.94072388,Suburban,Comprehensive,0,6,432,7,21:39.2,Average,Yes,Monthly,Apartment,1596
144,19,Female,23135,Single,4,PhD,Self-Employed,7.753223863,Rural,Comprehensive,,16,,9,21:39.2,Poor,No,Monthly,Condo,673
145,26,Female,596,Married,1,High School,Employed,10.83694169,Urban,Basic,1,7,607,1,21:39.2,,Yes,Rarely,House,656
146,31,Male,5719,Divorced,0,Master's,,28.29201913,Urban,Premium,,1,705,5,21:39.1,Average,Yes,Weekly,House,588
147,37,Male,1686,Married,1,PhD,Self-Employed,20.66243477,Suburban,Basic,,3,644,7,21:39.2,Average,No,Monthly,Condo,25
148,23,Female,16077,Married,2,PhD,Self-Employed,45.95889357,Urban,Comprehensive,,5,,8,21:39.2,Good,Yes,Monthly,House,2543
149,25,Male,7073,Single,3,Master's,Employed,17.0123225,Rural,Premium,,19,686,6,21:39.3,Average,No,Daily,Condo,823
150,62,Female,83335,Divorced,2,Master's,,13.08513583,Suburban,Comprehensive,1,15,,3,21:39.2,Poor,No,Rarely,Condo,277
151,59,Male,29777,Single,1,Bachelor's,,27.24794484,Urban,Basic,,5,797,4,21:39.3,Poor,No,Daily,Condo,446
152,55,Female,54720,Married,3,PhD,Unemployed,31.55247534,Rural,Basic,,16,509,3,21:39.2,Poor,No,Weekly,Condo,2037
153,35,Male,4907,Single,1,PhD,Unemployed,11.7449289,Rural,Premium,,4,831,6,21:39.2,Average,No,Monthly,Condo,34
154,61,Female,44377,Married,1,High School,,11.58198633,Suburban,Comprehensive,2,17,,9,21:39.2,Average,No,Weekly,Condo,37
155,26,Male,61327,Divorced,2,High School,Employed,32.99394599,Urban,Premium,0,4,529,8,21:39.1,Poor,Yes,Rarely,Condo,368
156,62,Female,6726,Married,2,Bachelor's,Unemployed,6.79434263,Suburban,Comprehensive,0,1,774,2,21:39.2,Average,Yes,Weekly,Condo,44
157,33,Female,3098,Single,0,Master's,Employed,12.29674138,Rural,Basic,3,14,592,7,21:39.2,Good,Yes,Weekly,House,1033
158,59,Female,2098,Divorced,2,High School,,35.6825373,Urban,Comprehensive,,6,843,1,21:39.1,Poor,No,Monthly,House,3134
159,60,Female,,Single,4,Master's,Unemployed,36.33148195,Suburban,Comprehensive,0,8,,8,21:39.3,Poor,Yes,Rarely,Apartment,142
160,58,Female,2592,Divorced,3,Bachelor's,Employed,30.48454324,Rural,Comprehensive,3,6,392,4,21:39.3,Good,Yes,Monthly,Condo,3040
161,34,Female,17521,Married,4,Bachelor's,Self-Employed,19.05279241,Suburban,Comprehensive,0,18,738,8,21:39.1,Average,No,Weekly,Apartment,692
162,62,Female,3739,Single,4,PhD,,38.69134185,Rural,Basic,4,12,486,1,21:39.2,Poor,No,Daily,House,464
163,24,Male,915,Married,,PhD,,23.0642623,Rural,Basic,,3,781,6,21:39.3,,Yes,Rarely,Apartment,591
164,55,Male,126549,Single,4,Master's,,15.6744824,Urban,Comprehensive,,14,766,6,21:39.1,Good,No,Daily,Condo,111
165,61,Female,35817,Single,2,High School,,45.26797578,Rural,Premium,,2,,3,21:39.1,Poor,No,Weekly,Apartment,1099
166,20,Female,6039,Married,0,Bachelor's,,42.7152873,Suburban,Basic,,5,644,1,21:39.2,Poor,Yes,Weekly,Condo,2316
167,55,Female,524,Divorced,3,High School,Unemployed,,Rural,Premium,,18,602,8,21:39.2,Poor,Yes,Rarely,House,464
168,25,Male,7007,Divorced,2,Master's,,22.45112784,Suburban,Comprehensive,2,14,364,8,21:39.2,,Yes,Weekly,Condo,868
169,43,Male,,Single,2,PhD,Unemployed,14.86567691,Rural,Basic,0,15,349,5,21:39.3,Good,No,Daily,Condo,366
170,56,Male,6058,Single,0,High School,Unemployed,15.38151991,Suburban,Premium,0,2,692,7,21:39.2,Good,Yes,Rarely,Apartment,23
171,51,Male,17140,Married,2,Master's,Unemployed,20.23594325,Rural,Comprehensive,,19,574,5,21:39.2,Poor,No,Rarely,Condo,1028
172,32,Female,123308,Divorced,2,PhD,Unemployed,22.75663935,Suburban,Basic,1,11,324,9,21:39.3,Good,No,Weekly,Apartment,1116
173,51,Male,35200,Married,3,PhD,Employed,33.90885917,Rural,Premium,0,0,632,3,21:39.3,Average,No,Weekly,Apartment,804
174,18,Male,56994,Single,4,Master's,Self-Employed,42.34842818,Suburban,Basic,2,2,379,9,21:39.1,Poor,Yes,Daily,Apartment,522
175,27,Female,67578,Single,2,PhD,Unemployed,30.94844953,Urban,Comprehensive,1,14,434,5,21:39.1,Poor,Yes,Monthly,House,913
176,51,Female,87744,Single,3,High School,Self-Employed,51.76970352,Urban,Premium,2,11,442,7,21:39.2,Average,Yes,Rarely,Apartment,1592
177,27,Male,16424,Single,4,Bachelor's,Employed,7.746162231,Rural,Basic,,2,497,5,21:39.2,Good,No,Daily,Condo,1022
178,64,Male,40512,Married,4,PhD,Unemployed,25.82654366,Rural,Basic,1,4,764,7,21:39.2,Good,No,Weekly,House,2476
179,63,Female,1038,Married,3,Bachelor's,Unemployed,15.86562183,Rural,Premium,1,0,429,7,21:39.1,Good,Yes,Monthly,House,48
180,30,Male,13635,Divorced,3,High School,Unemployed,3.957420877,Rural,Basic,0,2,683,3,21:39.2,Average,No,Rarely,House,85
181,33,Male,5079,Married,0,PhD,Unemployed,16.48206468,Urban,Premium,0,14,770,3,21:39.1,Good,Yes,Rarely,Apartment,939
182,62,Female,38133,Single,4,Bachelor's,Employed,47.12087962,Suburban,Comprehensive,,19,696,5,21:39.2,Poor,Yes,Rarely,House,1057
183,21,Female,25318,Single,1,Bachelor's,,25.8232787,Urban,Comprehensive,0,5,611,6,21:39.2,Good,Yes,Monthly,House,745
184,59,Male,14572,Single,0,Bachelor's,Self-Employed,33.88367589,Rural,Basic,,10,436,1,21:39.2,Poor,No,Weekly,House,2365
185,21,Male,93924,Single,,Bachelor's,Unemployed,47.98640107,Rural,Premium,1,6,482,8,21:39.2,Poor,Yes,Monthly,Apartment,3168
186,60,Female,29173,Married,,Master's,Unemployed,,Rural,Comprehensive,0,17,,3,21:39.1,Good,No,Daily,Condo,1127
187,35,Female,11705,Divorced,0,High School,,41.14681384,Urban,Premium,0,5,636,1,21:39.3,Poor,No,Weekly,Apartment,783
188,40,Female,196,Married,,Master's,Unemployed,11.65657632,Suburban,Premium,1,17,,3,21:39.2,Average,No,Monthly,Apartment,1391
189,51,Female,12063,Single,3,Master's,Self-Employed,34.59009929,Urban,Premium,,3,,6,21:39.2,Poor,Yes,Rarely,Condo,39
190,54,Male,66284,Divorced,1,Bachelor's,,16.26207944,Rural,Premium,0,12,713,4,21:39.2,Good,Yes,Monthly,Condo,229
191,60,Female,3645,Married,4,High School,Unemployed,13.49079194,Suburban,Comprehensive,,4,498,6,21:39.1,Good,No,Rarely,House,872
192,45,Female,14450,Divorced,0,High School,Employed,28.37803936,Urban,Premium,,15,479,7,21:39.1,,No,Monthly,House,510
193,29,Female,43928,Married,1,PhD,Self-Employed,19.71031134,Urban,Premium,,6,609,1,21:39.3,Good,No,Daily,House,722
194,33,Male,53637,Divorced,3,PhD,Self-Employed,,Suburban,Comprehensive,1,19,374,7,21:39.3,Good,No,Daily,House,587
195,39,Male,61461,Single,2,PhD,Employed,20.7801587,Suburban,Comprehensive,2,5,566,5,21:39.2,,No,Weekly,House,49
196,32,Male,5819,Divorced,0,PhD,,,Urban,Basic,0,4,784,7,21:39.3,Average,Yes,Weekly,House,934
